,,my daughter is in trouble.,women help desk,"""User Location"" (18.5196, 73.8554)","""my daughter is in trouble"""
,,my daughter is in trouble.,Women help desk,"The user location is provided, but it doesn't seem relevant to the query as it's focused on the user's daughter being in trouble.",daughter in trouble.
,,my daughter is in trouble.,Women help desk,aryan,dasgd,gfhfg,fghfgh,hfghf
,,my account got hacked toaday.,Cyber crime incident,Not provided,Account hacked.
,,my account got hacked toaday.,Cyber crime incident,sadsa,tyrtyrt,sadasd,sadsdas,dasdasdas
,,my daughter is in trouble.,Women help desk,Not provided by the user,Daughter in trouble.
,,my daughter is in trouble.,Women help desk,Daughter's location (to be determined),Daughter in trouble.
,,i got hit by car today.,Road accident,"18.5196, 73.8554",The user was involved in a road accident. No other details were provided in the query.
,,i got involve in car accident.,Road accident,"The user query does not provide any specific location details. The user location provided with the query is in the format of latitude and longitude, which cannot be directly used to identify a specific location.",The user has mentioned that they have been involved in a car accident. No other details about the incident have been provided in the query.
,,i got involve in car accident.,Road accident,sadasd,sadasd,sadasd,sdasd,asdsad
,,my card is blocked seems suspicious.,Cyber crime incident,Unknown,"User's credit card is blocked, possibly due to fraudulent activity."
,,my card is blocked seems suspicious.,Cyber crime incident,,,,,,
